0,Author,DOI,Journal Title,Publication Date,Title,Academic Department Description,Course Code,Course Instructor Primary Identifier,Course Status,Course Year,Searchable ID 1,Citation Type,Reading List Code,Reading List Name
0,"Ernst, Marc O ; Banks, Martin S",10.1038/415429a,Nature (London),2002-01-24,Humans integrate visual and haptic information in a statistically optimal fashion,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Hölting, Bernward ; Coldewey, Wilhelm G",10.1007/978-3-662-56375-5,,2018,Hydrogeology,School of Earth and Environment,22757_SOEE5070M,00038895,Inactive,,,Physical Article,202122_SOEE5070M__8608259_1,SOEE5070M: SOEE5070 Module Reading List
0,"Husain, Masud ; Mannan, Sabira ; Hodgson, Tim ; Wojciulik, Ewa ; Driver, Jon ; Kennard, Christopher",10.1093/brain/124.5.941,"Brain (London, England : 1878)",2001-05,Impaired spatial working memory across saccades contributes to abnormal search in parietal neglect,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Husain, Masud ; Mannan, Sabira ; Hodgson, Tim ; Wojciulik, Ewa ; Driver, Jon ; Kennard, Christopher",10.1093/brain/124.5.941,"Brain (London, England : 1878)",2001-05,Impaired spatial working memory across saccades contributes to abnormal search in parietal neglect,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Vladusich, T ; Hemmi, JM ; Srinivasan, MV ; Zeil, J",10.1242/jeb.01880,Journal of experimental biology,2005-11,Interactions of visual odometry and landmark guidance during food search in honeybees,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Vladusich, T ; Hemmi, JM ; Srinivasan, MV ; Zeil, J",10.1242/jeb.01880,Journal of experimental biology,2005-11,Interactions of visual odometry and landmark guidance during food search in honeybees,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Wilkie, Richard M ; Wann, John P",10.1037/0096-1523.32.1.88,Journal of experimental psychology. Human perception and performance,2006-02,"Judgments of Path, Not Heading, Guide Locomotion",School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Wilkie, Richard M ; Wann, John P",10.1037/0096-1523.32.1.88,Journal of experimental psychology. Human perception and performance,2006-02,"Judgments of Path, Not Heading, Guide Locomotion",School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Maguire, EA ; Burgess, N ; Donnett, JG ; Frackowiak, RSJ ; Frith, CD ; O'Keefe, J",10.1126/science.280.5365.921,Science (American Association for the Advancement of Science),1998-05-08,Knowing Where and Getting There: A Human Navigation Network,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Maguire, EA ; Burgess, N ; Donnett, JG ; Frackowiak, RSJ ; Frith, CD ; O'Keefe, J",10.1126/science.280.5365.921,Science (American Association for the Advancement of Science),1998-05-08,Knowing Where and Getting There: A Human Navigation Network,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Scoville, William Beecher ; Milner, Brenda",10.1136/jnnp.20.1.11,"Journal of neurology, neurosurgery and psychiatry",1957-02,LOSS OF RECENT MEMORY AFTER BILATERAL HIPPOCAMPAL LESIONS,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Scoville, William Beecher ; Milner, Brenda",10.1136/jnnp.20.1.11,"Journal of neurology, neurosurgery and psychiatry",1957-02,LOSS OF RECENT MEMORY AFTER BILATERAL HIPPOCAMPAL LESIONS,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Cloete, Steven R ; Wallis, Guy",10.1007/s00221-009-1813-6,Experimental brain research,2009-04-29,Limitations of feedforward control in multiple-phase steering movements,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Cloete, Steven R ; Wallis, Guy",10.1007/s00221-009-1813-6,Experimental brain research,2009-04-29,Limitations of feedforward control in multiple-phase steering movements,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Squire, Larry R ; Teng, Edmond",10.1038/23276,Nature (London),1999-08-12,Memory for places learned long ago is intact after hippocampal damage,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Squire, Larry R ; Teng, Edmond",10.1038/23276,Nature (London),1999-08-12,Memory for places learned long ago is intact after hippocampal damage,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Hobbs, N. B",10.1144/GSL.QJEG.1986.019.01.02,Quarterly journal of engineering geology and hydrogeology,1986-02,Mire morphology and the properties and behaviour of some British and foreign peats,School of Earth and Environment,28573_SOEE5531M,01051505; 01064654,Inactive,,,Physical Article,202122_SOEE5531M__8970365_1,SOEE5531M: Module Reading List
0,"Egger, Seth W ; Engelhardt, Heidi R ; Britten, Kenneth H",10.1371/journal.pone.0011975,PloS one,2010,Monkey steering responses reveal rapid visual-motor feedback,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Egger, Seth W ; Engelhardt, Heidi R ; Britten, Kenneth H",10.1371/journal.pone.0011975,PloS one,2010,Monkey steering responses reveal rapid visual-motor feedback,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Raw, Rachael K ; Kountouriotis, Georgios K ; Mon-Williams, Mark ; Wilkie, Richard M",10.1037/a0026568,Journal of experimental psychology. Human perception and performance,2012-06,Movement Control in Older Adults: Does Old Age Mean Middle of the Road?,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Raw, Rachael K ; Kountouriotis, Georgios K ; Mon-Williams, Mark ; Wilkie, Richard M",10.1037/a0026568,Journal of experimental psychology. Human perception and performance,2012-06,Movement Control in Older Adults: Does Old Age Mean Middle of the Road?,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
